Jeg er i fængslet.	I'm at the prison.
Man ser kun klart med hjertet. Det væsentlige er usynligt for øjet.	One sees clearly only with the heart. What is essential is invisible to the eye.
Jeg er tilbage klokken syv.	I'll be back at seven o'clock.
Jeg lovede ham at holde det hemmeligt.	I promised him to keep it a secret.
Jeg skiftede til Google Chrome og den fungerede.	I switched to Google Chrome and it worked.
Den cd-afspiller virker ikke.	That CD player doesn't work.
Tom gav Mary tusind dollars i en brun papirspose.	Tom gave Mary a $1000 in a brown paper bag.
Hun ved ikke hvem der er faren.	She doesn't know who the father is.
Tom har luget haven.	Tom weeded the garden.
Vi er her for at beskytte dig.	We're here to protect you.
Det er sikkert at spise fiskene.	It's safe to eat the fish.
De her er Toms.	These are Tom's.
Det var meget svært.	It was very difficult.
Hold dig fra min motorcykel.	Stay away from my motorcycle.
Kan du ikke tale fransk?	Can't you speak French?
Jeg faldt i søvn i timen.	I fell asleep in class.
I må hellere se at komme af sted.	You'd better get going.
Han har repareret uret for mig.	He fixed the watch for me.
Esperantoalfabetet består af 28 bogstaver: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.	The Esperanto alphabet consists of 28 letters: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.
Toms telefon begyndte at ringe.	Tom's phone started ringing.
Det er jeg ked af, men jeg vidste ikke at det var en hemmelighed.	I'm sorry, but I didn't know it was a secret.
Jeg har tilkaldt sikkerhedsfolkene.	I called security.
Vi gik omkring seks kilometer til fods.	We walked for about 6 kilometers.
Fransk er vanskeligt at lære.	French is difficult to learn.
I går interviewede vi nogle turister fra hele verden.	Yesterday we interviewed some tourists from all over the world.
Han skulle have været her for ti minutter siden.	He should've been here ten minutes ago.
Har du nogensinde sunget på fransk?	Have you ever sung in French?
Vi så slet ingen børn.	We didn't see any children at all.
Han er uberegnelig.	He is unpredictable.
Jeg er vokset op i en lille by.	I grew up in a small town.
Lærere tjener ikke nok.	Teachers don't get paid enough.
Jeg tog bad da telefonen ringede.	I was having a bath when the telephone rang.
Tom hejsede flaget.	Tom raised the flag.
Har han en hund?	Has he got a dog?
Laylas mor var stripper.	Layla's mother was a stripper.
Jeg forstår ikke musik.	I don't understand music.
Jeg ved ikke hvornår han kommer.	I don't know when he will come.
Jeg bliver kaldt "Itch."	I go by the nickname "Itch."
Jeg fik et A i fransk.	I got an A in French.
Tom er en meget god landmand.	Tom is a very good farmer.
Han tog til London for at lære engelsk.	He went to London to learn English.
Send det til mig.	Send it to me.
Min engelsklærer anbefalede at jeg læste disse bøger.	My English teacher recommended that I read these books.
Du har meget viljestyrke.	You've got a lot of willpower.
Det vil muligvis regne i morgen.	It may rain tomorrow.
Jeg er glad for at jeg gik tidligt.	I'm glad I left early.
Harald? Det var dog et usædvanligt navn.	Harald? What an unusual name!
Jeg så ham i dag.	I saw him today.
Brug ikke strygejernet, elkedlen og det elektriske komfur samtidig.	Don't use the iron, electric kettle, and electric stove at the same time.
Hold op med at være så nysgerrig.	Stop being so curious.
Jeg tror at der findes spøgelser.	I think that ghosts exist.
Tom siger at han aldrig har prøvet at spise hundemad.	Tom says that he's never tried eating dog food.
Tom ønskede ikke at Maria skulle se ham i håndjern.	Tom didn't want Mary to see him in handcuffs.
Hvor er dit sværd?	Where is your sword?
Vi ses i næste uge!	See you next week.
Vi var i gang med at læse.	We were reading.
Hvordan udtales dette ord?	How do you pronounce this word?
Nu eller aldrig!	It's now or never.
Hvor lang tid er det siden du sidst havde en kæreste?	How long has it been since you've had a girlfriend?
Jeg elsker norsk!	I love Norwegian!
Jeg kan lide måden du går på.	I like the way you walk.
Han har levet et langt liv.	He lived a long life.
Den pianist er kendt for sin virtuositet.	This pianist is known for his virtuosity.
Hvad skete der den 20. oktober?	What happened on October twentieth?
Jeg drikker enten kaffe eller te hver morgen.	I drink either coffee or tea every morning.
Du ønsker at hjælpe mig.	You want to help me.
Den der tier, samtykker.	He who remains silent is understood to consent.
Denne fisk lugter dårligt.	This fish has a bad smell.
Hun er kratlusker.	She's a tree hugger.
I dag bliver en kvinde som er automekaniker set som "sej," mens en mandlig frisør af mange automatisk bliver stemplet som "bøsse."	Nowadays, a woman who is an auto mechanic is "cool," while a man hairdresser is automatically titled as "gay" by many.
Ved du ikke hvor smuk du er?	Don't you know how beautiful you are?
Vi er mellem venner.	We're among friends.
Der er nogle gode æbler i kurven.	There are some good apples in the basket.
Hun ser godt ud i dag.	She appears well today.
Han var meget beruset.	He was very drunk.
Tom er Marys onkel.	Tom is Mary's uncle.
Ingen har til hensigt at opføre en mur.	Nobody intends to erect a wall.
De må være sultne.	They must be hungry.
Hun kunne ikke komme, fordi hun var syg.	She could not come because she was ill.
Vil det regne i eftermiddag?	Will it rain this afternoon?
Tom slukkede lyset i stuen og gik op i sit soveværelse.	Tom turned off the living room light and went upstairs to his bedroom.
MDIR ligger bogstaveligt talt i min baghave.	MDIR is literally in my back yard.
Katten sover på bordet.	The cat is sleeping on the table.
Har du nogensinde overvejet at skrive en bog?	Have you ever thought about writing a book?
Gør bare det færdigt som du er i gang med.	Just finish what you're doing.
Æbler vokser på træer.	Apples grow on trees.
Piger tænker meget på drenge.	Girls think about boys a lot.
Jagt er forbudt i nationalparker.	Hunting is prohibited in national parks.
Hvad er I ude på?	What are you guys up to?
Tror du på spøgelser?	Do you believe in ghosts?
Er du forberedt på det værste?	Are you prepared for the worst?
Jeg foretrækker kaffe frem for te.	I prefer coffee to tea.
Pedro har en motorcykel og elsker at køre på den.	Pedro has a motorcycle and loves to ride it.
Begge to er i live.	Both are alive.
Tom bor stadig hos sin mor.	Tom is still living with his mom.
Mor, hvor er min lommetørklæde?	Mummy, where's my hanky?
I morgen er det jul.	Tomorrow it's Christmas.
Jeg har coolt tøj og coole solbriller på.	I wear cool clothes and cool sunglasses.
Men bonden smilte til ham.	But the farmer smiled at him.
Hvem havde ret?	Who was right?
Tom var lamslået.	Tom was petrified.
Hans navn er kendt af alle i denne by.	His name is known to everyone in this town.
Tom har slået sit knæ.	Tom hurt his knee.
Bider jeres hund?	Does your dog bite?
Vores rejse afhænger af vejret.	Our trip is dependent on the weather.
Hvem taler jeg med?	Who am I speaking to?
Gidslerne slippes fri før jul.	The hostages will be released before Christmas.
Det er ikke for sent.	It's not too late.
Synes du at engelsk er svært?	Do you think English is difficult?
Tager vi afsted nu?	Are we leaving now?
Din far vil ikke købe det.	Your father will not buy it.
Du må sidde lige hvor du har lyst til.	You may sit wherever you like.
Substantiver, pronominer, verber, adjektiver, adverbier, artikler, præpositioner, konjunktioner og interjektioner er ordklasserne i engelsk.	Nouns, pronouns, verbs, adjectives, adverbs, articles, prepositions, conjunctions, and interjections are the parts of speech in English.
Du kan ikke lide hende, vel?	You don't like her, do you?
Hvert sæde var fyldt.	Every seat was full.
Jeg betalte for dem.	I paid for them.
Jeg ønsker hverken kød eller fisk.	I want neither meat nor fish.
Det er smukt.	That's beautiful.
Han har ukrainsk statsborgerskab.	He has Ukrainian citizenship.
Jeg er ikke bange.	I'm not afraid.
Jeg er nødt til at se det!	I have to see it!
Jeg synes at din nederdel er for kort.	I think your skirt's too short.
Jeg solgte mit hus i sidste måned.	I sold my house last month.
Vi tog tidligt hen til teateret så vi kunne være sikker på at alle kunne få en siddeplads.	We went to the theater early, so we could be sure that everyone could get a seat.
Uden kunsten ville virkelighedens råhed gøre verden uudholdelig.	Without art, the crudeness of reality would make the world unbearable.
Der er nødt til at være en forklaring.	There has got to be an explanation.
Når katten er ude, danser musene på bordet.	When the cat's away the mice will play.
Du er en bogorm.	You're a bookworm.
Han ønsker at leve på sin måde.	He wishes to live his own way.
Moren kildede sit barn med en fjer.	The mother tickled her child with a feather.
Jeg vil hente en.	I'll get one.
Hvor blev de født?	Where were they born?
Jeg savner min kat.	I miss my cat.
Tom har gjort en interessant opdagelse.	Tom has made an interesting discovery.
Drik det her!	Drink this.
Tom har en skuffe fuld af USB-kabler.	Tom has a drawer full of USB cables.
Mary kiggede ind i sit magiske spejl.	Mary looked into her magic mirror.
I sidste uge læste jeg en meget interessant bog.	Last week I read a very interesting book.
Den er grim, lysegul og passer ikke til noget. Men du vil i det mindste ikke blive påkørt i mørket!	It's ugly, bright yellow and it doesn't go with anything. But at least you won't get run over in the dark!
Børn har generelt en højere kropstemperatur end voksne.	Children generally have a higher body temperature than adults.
Mary er katolsk, men hendes kæreste er ateist.	Mary is Catholic, but her boyfriend is an atheist.
Dine gæster venter allerede.	Your guests are waiting.
Morgenmaden er klar.	Breakfast is ready.
Tom er en nyttig idiot.	Tom is a useful idiot.
Maria varmede sig foran ilden.	Mary warmed herself in front of the fire.
Han var syg, så han kunne ikke komme.	He was sick, so he couldn't come.
Det er ikke min skyld.	That's not my fault.
Røde hunde kaldes også "tyske mæslinger" på engelsk, mens tyskerne kalder rakitis dvs. engelsk syge for "den engelske syge."	Rubella is also called 'German measles' in English, while Germans call rickets 'the English disease'.
Glem det aldrig!	Never forget it.
Vi har en halv times ophold i Paris.	We have a stop for half an hour in Paris.
Mød mig klokken halv tre.	Meet me at 2:30.
Tom kan ikke tale fransk, kan han vel?	Tom can't speak French, can he?
Han forsøgte at løse problemet.	He tried to solve the problem.
Hvor solgte du dem?	Where did you sell them?
Det er mange penge.	That's a lot of money.
Jeg giver dig ikke skylden.	I don't blame you.
Vores cykeltur i de franske alper varede to uger.	Our biking trip in the French Alps lasted two weeks.
Vandet i søen er meget koldt.	The water of the lake is very cold.
Tom havde i sinde at lyve, men endte med at snakke over sig.	Tom was going to lie, but he ended up spilling the beans.
Atlantis er virkelig.	Atlantis is real.
Ring til mig!	Call me!
Hvor er din computer?	Where's your computer?
Du kan ikke hjælpe nu. Det er for sent.	You can't help now. It's too late.
Du siger ikke sandheden.	You're not telling the truth.
Den gamle lade faldt sammen.	The old barn collapsed.
"Er din kone britisk?" "Hun er ikke britisk, hun er skotsk."	"Is your wife British?" "She isn't British, she's Scottish."
Tom er ikke kræsen.	Tom isn't fussy.
Jeg har ikke noget imod at sove på gulvet.	I don't mind sleeping on the floor.
Tom viste Mary nogle fotoer af John.	Tom showed Mary some photos of John.
Hvem har mon givet Tom det sæbeøje?	I wonder who gave Tom that black eye.
Tom arbejder i en bank.	Tom works in a bank.
Der er en kold vind fra nord.	There's a cold wind from the north.
Jeg ønskede ikke at I skulle tage afsted.	I didn't want you to leave.
Disse "venner" har en dårlig indflydelse på dig.	These "friends" are a bad influence on you.
Bryllupsfesten fortsatte i hele tre dage.	The marriage feast continued for three whole days.
Dengang brød jeg mig ikke om øl.	I didn't like beer at that time.
Tom vandt 10.000 dollar i lotteriet.	Tom won $10,000 in the lottery.
Hvorfor har du ikke fortalt mig om det tidligere?	Why didn't you tell me about that earlier?
Ingen nyheder er gode nyheder.	No news is good news.
Jorden har form som en appelsin.	The earth is the shape of an orange.
Træer afgiver ilt og optager kultveilte.	Trees give off oxygen and absorb carbon dioxide.
Mange elever har købt bogen.	Many students bought the book.
Tom arbejder for meget.	Tom works too much.
Jeg er på listen.	I'm on the list.
Hvor er dit barnebarn?	Where's your grandchild?
Jeg skilte mig af med min gamle bil selvom jeg hadede at gøre det.	I parted with my old car, though I hated to do so.
Jeg er tilbage om en time.	I'll be back in an hour.
Det er en appelsin.	It is an orange.
